bitlength,duration_s,exchange_success
2048,0.00474175,1
4096,0.033566,1
8192,0.223522,1
2048,0.00492025,1
4096,0.0335071,1
8192,0.223859,1
2048,0.00491979,1
4096,0.0335544,1
8192,0.223397,1
2048,0.00470737,1
4096,0.0332894,1
8192,0.224843,1
2048,0.00470658,1
4096,0.0331861,1
8192,0.22296,1
2048,0.00482621,1
4096,0.0333955,1
8192,0.222774,1
2048,0.00488446,1
4096,0.033746,1
8192,0.223185,1
2048,0.00485092,1
4096,0.0334459,1
8192,0.223086,1
2048,0.0048975,1
4096,0.0335619,1
8192,0.225402,1
2048,0.00512562,1
4096,0.0339485,1
8192,0.225922,1
2048,0.00487287,1
4096,0.0335491,1
8192,0.223288,1
2048,0.00484054,1
4096,0.033508,1
8192,0.222737,1
2048,0.00491129,1
4096,0.0335041,1
8192,0.223213,1
2048,0.00495712,1
4096,0.0336201,1
8192,0.222971,1
2048,0.00484467,1
4096,0.0336385,1
8192,0.226099,1
2048,0.00477117,1
4096,0.0336361,1
8192,0.223598,1
2048,0.00482942,1
4096,0.0334772,1
8192,0.223218,1
2048,0.00483004,1
4096,0.033403,1
8192,0.22479,1
2048,0.00475583,1
4096,0.0335815,1
8192,0.225248,1
2048,0.00490062,1
4096,0.0336037,1
8192,0.223302,1
2048,0.00487329,1
4096,0.0335606,1
8192,0.223183,1
2048,0.00484325,1
4096,0.0336497,1
8192,0.225325,1
2048,0.00471313,1
4096,0.0340912,1
8192,0.225679,1
2048,0.00473021,1
4096,0.0335225,1
8192,0.223532,1
2048,0.00487521,1
4096,0.0333178,1
8192,0.222839,1
2048,0.00481025,1
4096,0.0334803,1
8192,0.223141,1
2048,0.004782,1
4096,0.0334539,1
8192,0.223123,1
2048,0.00476746,1
4096,0.033517,1
8192,0.236263,1
2048,0.00484967,1
4096,0.0335938,1
8192,0.225241,1
2048,0.00473,1
4096,0.0337685,1
8192,0.223942,1
2048,0.004694,1
4096,0.0334652,1
8192,0.225046,1
2048,0.00475658,1
4096,0.0333891,1
8192,0.223002,1
2048,0.00497067,1
4096,0.0334007,1
8192,0.223124,1
2048,0.00469379,1
4096,0.0334152,1
8192,0.224845,1
2048,0.004707,1
4096,0.0335618,1
8192,0.223478,1
2048,0.004922,1
4096,0.0341712,1
8192,0.223703,1
2048,0.00483621,1
4096,0.0335552,1
8192,0.22364,1
2048,0.00495483,1
4096,0.0335239,1
8192,0.223324,1
2048,0.00491325,1
4096,0.0335252,1
8192,0.223304,1
2048,0.00481687,1
4096,0.033361,1
8192,0.223354,1
2048,0.004855,1
4096,0.0333056,1
8192,0.223359,1
2048,0.00474904,1
4096,0.0336191,1
8192,0.22311,1
2048,0.00484654,1
4096,0.0333101,1
8192,0.224898,1
2048,0.00486383,1
4096,0.0335052,1
8192,0.223126,1
2048,0.00478221,1
4096,0.0334162,1
8192,0.223191,1
2048,0.00489767,1
4096,0.0334365,1
8192,0.222938,1
2048,0.00488079,1
4096,0.0334823,1
8192,0.223236,1
2048,0.00497571,1
4096,0.0334895,1
8192,0.223123,1
2048,0.00485058,1
4096,0.0332647,1
8192,0.223488,1
2048,0.00480313,1
4096,0.0334331,1
8192,0.225014,1
2048,0.00490367,1
4096,0.033413,1
8192,0.224939,1
2048,0.00479596,1
4096,0.0335109,1
8192,0.222959,1
2048,0.00487675,1
4096,0.0344712,1
8192,0.224779,1
2048,0.00477596,1
4096,0.0335556,1
8192,0.223106,1
2048,0.00494583,1
4096,0.0336432,1
8192,0.223727,1
2048,0.00485721,1
4096,0.0336052,1
8192,0.223274,1
2048,0.00490233,1
4096,0.0336327,1
8192,0.22323,1
2048,0.0049215,1
4096,0.0333995,1
8192,0.225589,1
2048,0.00490067,1
4096,0.0335588,1
8192,0.235648,1
2048,0.00475179,1
4096,0.0336538,1
8192,0.223274,1
2048,0.00488775,1
4096,0.0337143,1
8192,0.223786,1
2048,0.00492087,1
4096,0.0334851,1
8192,0.224085,1
2048,0.00477225,1
4096,0.0336516,1
8192,0.225465,1
2048,0.00483867,1
4096,0.0333479,1
8192,0.2234,1
2048,0.00473654,1
4096,0.0335867,1
8192,0.225077,1
2048,0.00480396,1
4096,0.0336255,1
8192,0.225012,1
2048,0.00479225,1
4096,0.0335177,1
8192,0.223147,1
2048,0.00474396,1
4096,0.0333967,1
8192,0.223196,1
2048,0.00480421,1
4096,0.0338378,1
8192,0.223274,1
2048,0.00492683,1
4096,0.0335302,1
8192,0.222952,1
2048,0.00486521,1
4096,0.0335429,1
8192,0.223338,1
2048,0.00478829,1
4096,0.0334346,1
8192,0.223379,1
2048,0.00477425,1
4096,0.0334585,1
8192,0.223374,1
2048,0.00496662,1
4096,0.0336542,1
8192,0.223057,1
2048,0.00477992,1
4096,0.0335936,1
8192,0.224295,1
2048,0.00496975,1
4096,0.0336605,1
8192,0.223303,1
2048,0.00497017,1
4096,0.0335737,1
8192,0.222976,1
2048,0.00492383,1
4096,0.0335744,1
8192,0.223231,1
2048,0.0049585,1
4096,0.0334822,1
8192,0.223066,1
2048,0.00480863,1
4096,0.0335749,1
8192,0.223288,1
2048,0.00478012,1
4096,0.0335488,1
8192,0.223184,1
2048,0.00493025,1
4096,0.0335543,1
8192,0.22511,1
2048,0.00474467,1
4096,0.0336556,1
8192,0.223261,1
2048,0.00476567,1
4096,0.0333647,1
8192,0.224625,1
2048,0.00480262,1
4096,0.0335231,1
8192,0.223039,1
2048,0.00484404,1
4096,0.0333598,1
8192,0.223014,1
2048,0.00492862,1
4096,0.0333698,1
8192,0.225142,1
2048,0.00487333,1
4096,0.0333851,1
8192,0.225737,1
2048,0.00487392,1
4096,0.0335602,1
8192,0.231956,1
2048,0.00493842,1
4096,0.0336249,1
8192,0.223572,1
2048,0.00492367,1
4096,0.0336617,1
8192,0.223415,1
2048,0.00477154,1
4096,0.0335206,1
8192,0.222954,1
2048,0.00476333,1
4096,0.0334711,1
8192,0.222718,1
2048,0.00477125,1
4096,0.0334656,1
8192,0.223277,1
2048,0.00475988,1
4096,0.0335893,1
8192,0.222907,1
2048,0.00480583,1
4096,0.0335172,1
8192,0.222993,1
2048,0.00498754,1
4096,0.0336068,1
8192,0.223236,1
2048,0.00481846,1
4096,0.033386,1
8192,0.22325,1
2048,0.0049805,1
4096,0.0336293,1
8192,0.223244,1
2048,0.00484917,1
4096,0.0334851,1
8192,0.22301,1
2048,0.00481604,1
4096,0.0334386,1
8192,0.224093,1
2048,0.0048835,1
4096,0.0333617,1
8192,0.228752,1
2048,0.004991,1
4096,0.0340606,1
8192,0.223634,1
2048,0.00492596,1
4096,0.033643,1
8192,0.223408,1
2048,0.00486871,1
4096,0.033572,1
8192,0.22355,1
2048,0.00494917,1
4096,0.0335059,1
8192,0.223193,1
2048,0.00486875,1
4096,0.0333677,1
8192,0.22331,1
2048,0.00471012,1
4096,0.033561,1
8192,0.225162,1
2048,0.00496463,1
4096,0.0335808,1
8192,0.223577,1
2048,0.00495071,1
4096,0.0335282,1
8192,0.22285,1
2048,0.00479804,1
4096,0.0335292,1
8192,0.223004,1
2048,0.00477746,1
4096,0.0334602,1
8192,0.222938,1
2048,0.00479642,1
4096,0.0333016,1
8192,0.223172,1
2048,0.00491458,1
4096,0.0333906,1
8192,0.224225,1
2048,0.00490229,1
4096,0.0335683,1
8192,0.223269,1
2048,0.00488183,1
4096,0.033966,1
8192,0.223801,1
2048,0.004915,1
4096,0.0334809,1
8192,0.225066,1
2048,0.00500863,1
4096,0.0335072,1
8192,0.222955,1
2048,0.00492025,1
4096,0.0334282,1
8192,0.223032,1
2048,0.00484483,1
4096,0.0335396,1
8192,0.235377,1
2048,0.00495462,1
4096,0.033474,1
8192,0.223118,1
2048,0.00496875,1
4096,0.0335591,1
8192,0.223128,1
2048,0.00492829,1
4096,0.0334177,1
8192,0.223352,1
2048,0.00499092,1
4096,0.0334767,1
8192,0.223272,1
2048,0.00492867,1
4096,0.0335902,1
8192,0.222993,1
2048,0.00473867,1
4096,0.0335968,1
8192,0.223101,1
2048,0.00483225,1
4096,0.0335984,1
8192,0.224128,1
2048,0.00498113,1
4096,0.0337473,1
8192,0.223605,1
2048,0.00495467,1
4096,0.0339,1
8192,0.224018,1
2048,0.00475292,1
4096,0.0334961,1
8192,0.225387,1
